Channels	Counts
0	1715
1	1737
2	1755
3	1751
4	1777
5	1788
6	1619
7	1761
8	1724
9	1664
10	1802
11	1763
12	1751
13	1728
14	1754
15	1736
16	1745
17	1783
18	1694
19	1817
20	1727
21	1711
22	1699
23	1689
24	1817
25	1741
26	1765
27	1729
28	1697
29	1782
30	1724
31	1713
32	1724
33	1729
34	1732
35	1715
36	1668
37	1745
38	1694
39	1721
40	1763
41	1700
42	1763
43	1749
44	1725
45	1704
46	1734
47	1723
48	1648
49	1728
50	1724
51	1721
52	1716
53	1726
54	1764
55	1649
56	1736
57	1763
58	1747
59	1749
60	1773
61	1742
62	1670
63	1679
64	1781
65	1692
66	1722
67	1718
68	1678
69	1735
70	1799
71	1682
72	1726
73	1725
74	1719
75	1799
76	1711
77	1728
78	1745
79	1659
80	1718
81	1715
82	1728
83	1658
84	1680
85	1718
86	1647
87	1777
88	1646
89	1725
90	1664
91	1675
92	1688
93	1716
94	1644
95	1637
96	1667
97	1667
98	1676
99	1662
100	1668
101	1626
102	1644
103	1606
104	1687
105	1685
106	1549
107	1602
108	1566
109	1606
110	1572
111	1635
112	1556
113	1583
114	1596
115	1541
116	1494
117	1521
118	1465
119	1516
120	1510
121	1429
122	1425
123	1409
124	1314
125	1288
126	1225
127	1229
128	1213
129	1185
130	1158
131	1123
132	1099
133	1033
134	1068
135	948
136	970
137	902
138	943
139	907
140	974
141	950
142	951
143	947
144	1021
145	1068
146	1043
147	1092
148	1146
149	1128
150	1256
151	1258
152	1304
153	1330
154	1299
155	1300
156	1376
157	1415
158	1492
159	1491
160	1464
161	1500
162	1455
163	1555
164	1566
165	1530
166	1539
167	1565
168	1634
169	1522
170	1612
171	1664
172	1626
173	1598
174	1647
175	1656
176	1731
177	1644
178	1653
179	1687
180	1684
181	1721
182	1613
183	1657
184	1653
185	1645
186	1701
187	1737
188	1654
189	1679
190	1656
191	1676
192	1719
193	1660
194	1711
195	1716
196	1714
197	1716
198	1727
199	1691
200	1754
201	1638
202	1669
203	1659
204	1722
205	1663
206	1695
207	1717
208	1680
209	1745
210	1676
211	1747
212	1678
213	1725
214	1716
215	1747
216	1711
217	1741
218	1622
219	1748
220	1671
221	1698
222	1710
223	1723
224	1650
225	1717
226	1742
227	1755
228	1698
229	1761
230	1738
231	1699
232	1719
